title,method,host,port,path
www.aviasales.ru,POST,www.aviasales.ru,443,{rand}
aviasales.ru,POST,aviasales.ru,443,{rand}
b2b.aviasales.ru,POST,b2b.aviasales.ru,443,{rand}
calendar.aviasales.ru,POST,calendar.aviasales.ru,443,{rand}
tickets.aviasales.ru,POST,tickets.aviasales.ru,443,{rand}
search.aviasales.ru,POST,search.aviasales.ru,443,{rand}
7.aviasales.ru,POST,7.aviasales.ru,443,{rand}
wwb1a.beta.aviasales.ru,POST,wwb1a.beta.aviasales.ru,443,{rand}
freeipa.beta.aviasales.ru,POST,freeipa.beta.aviasales.ru,443,{rand}
www.crpt.ru,POST,www.crpt.ru,443,{rand}
markirovka.crpt.ru,POST,markirovka.crpt.ru,443,{rand}
milk.crpt.ru,POST,milk.crpt.ru,443,{rand}
ismp.crpt.ru,POST,ismp.crpt.ru,443,{rand}
edo-gismt.crpt.ru,POST,edo-gismt.crpt.ru,443,{rand}
suzgrid.crpt.ru,POST,suzgrid.crpt.ru,443,{rand} 
suz2.crpt.ru,POST,suz2.crpt.ru,443,{rand}
api.mdlp.crpt.ru,POST,api.mdlp.crpt.ru,443,{rand} 
kb.crpt.ru,POST,kb.crpt.ru,443,{rand}
1,POST,xn--80aqu.xn----7sbabas4ajkhfocclk9d3cvfsa.xn--p1ai,443,{rand}
2,POST,xn--80aqu.xn----7sbabas4ajkhfocclk9d3cvfsa.xn--p1ai/v3/feed-product?apikey=6beae431-8d16-43c5-9c6d-378b19fd2ff7,443,{rand}
mercury.vetrf.ru,POST,mercury.vetrf.ru,443,{rand}
api.vetrf.ru,POST,api.vetrf.ru,443,{rand}
api2.vetrf.ru,POST,api2.vetrf.ru,443,{rand}
idp.vetrf.ru,POST,idp.vetrf.ru/idp/profile/SAML2/POST/SSO?execution=e1s,443,{rand}
ofd.astralnalog.ru,POST,ofd.astralnalog.ru,443,{rand}
1-ofd,POST,www.1-ofd.ru,443,{rand}
k-server,POST,k-server.1-ofd.ru,443,{rand}
taxcom,POST,www.taxcom.ru,443,{rand}
ofd.taxcom,POST,lk-ofd.taxcom.ru,443,{rand}
ofd,POST,www.ofd.ru,443,{rand}
e-ofd,POST,www.e-ofd.ru,443,{rand}
magnit,POST,ofd-magnit.ru,443,{rand}
ofd-magnit,POST,kkttst.ofd-magnit.ru/CheckWebApp/fiscaldocsearch.zul,443,{rand}
garantexpress,POST,www.garantexpress.ru,443,{rand}
